mmsi,imo,name,callsign,type,type_specific,country_iso,length,breadth,draught_max,gross_tonnage,deadweight,teu,year_built,speed_max
525005324,6502945,DHARMA RUCITRA,YFEZ,Passenger,Ro-Ro or Passenger Ship,ID,48.6,12.4,,468.0,163.0,,1964,13.0
525005325,8904939,DHARMA KARTIKA VIII,PNHZ,Passenger,Ro-Ro or Passenger Ship,ID,71.0,14.0,,855.0,350.0,,1989,
525005334,9750426,PROSPERO 10,PLLW,High Speed Craft,Utility Vessel,ID,45.0,11.0,,448.0,422.0,,2015,10.0
525005341,,SUNLY 10,YB3706,Cargo,Cargo,ID,,,,,,,,14.0
525005353,9579107,PACIFIC HARRIER,YBBR2,Tug,Multi Purpose Offshore Vessel,ID,88.1,19.0,6.4,4059.0,4699.0,,2012,12.0
525005355,7638284,JOKOTOLE,YB5186,Passenger,Ro-Ro or Passenger Ship,ID,31.5,8.0,,192.0,150.0,,1976,5.0
525005356,8697536,ANUGRAH BAHARI KUSUMA,YBCM2,Cargo,Landing Craft,ID,65.0,13.0,2.6,1022.0,1600.0,,2015,8.0
525005361,8660868,OCEAN MANDAR,POGJ,Other,Oil Products Tanker,ID,53.0,10.0,2.6,551.0,1000.0,,2012,8.0
525005363,,TB OCEANUS 203,YDB4403,,Unspecified,ID,27.0,8.0,,,,,,6.0
525005368,8997223,PERKASA PRIMA 05,YDKK,Passenger,Landing Craft,ID,55.0,12.0,,498.0,,,2005,
525005381,,FIONA38,YBBV2,Tug,Tug,ID,57.0,12.0,,,,,,7.0
525005385,,MERANTI 7 02,YB6331,Reserved,Reserved,ID,36.0,8.0,,,,,,5.0
525005393,9769336,ARK NAPHTALI,YDB4807,Tug,Tug,ID,27.8,8.6,,284.0,270.0,,2016,
525005396,8682361,EDRICKO 11,YBEU2,Tanker,Oil Products Tanker,ID,96.0,15.0,4.0,2997.0,4352.0,,2012,102.0
525005397,9136591,ORIENTAL GOLD,YBFM2,Cargo,Container Ship,ID,162.0,26.0,7.0,13310.0,17429.0,1133.0,1996,17.0
525005401,9153915,BUNGA MELATI 51,YBGS2,Cargo,General Cargo,ID,108.0,16.26,4.0,3619.0,5856.0,,1996,14.0
525005406,,ENA PHOENIX,YBIO2,Tug,Tug,ID,40.0,11.0,,,,,,7.0
525005568,,KM.BAROKAH ILLAHI 4,,Fishing,Fishing,ID,,,,,,,,
525005888,,KM OCEAN FISH,,Fishing,Fishing,ID,,,,,,,,
525006009,9509578,BULK DERAWAN,PMYK,,Deck Cargo Pontoon,ID,96.0,27.6,,5320.0,1526.0,,2009,
525006010,9164873,JOHN CAINE 2,PMYY,Tanker,Crude Oil Tanker,ID,158.0,26.8,5.8,13210.0,17998.0,,1998,14.0
525006018,9383742,INTAN MEGAH 4,YDA4573,Tug,Tug,ID,28.05,8.6,,264.0,178.0,,2006,7.0
525006022,9386586,INTAN MEGAH 10,YDA4554,Tug,Tug,ID,28.2,9.0,,220.0,123.0,,2006,
525006027,9386172,INTAN MEGAH 5,YDA4567,Tug,Tug,ID,28.05,8.6,,265.0,181.0,,2006,5.0
525006035,,TB HARRY 03,YDA6115,Tug,Tug,ID,30.0,8.0,,,,,,9.0
525006041,9047958,GLORIA SENTOSA,PNNB,Tanker - Hazard A (Major),Asphalt or Bitumen Tanker,ID,69.09,10.0,,699.0,1380.0,,1992,8.0
525006043,,TB.ARABIKA,YD7031,Tug,Tug,ID,26.0,8.0,,,,,,5.0
525006047,9621687,WIJAYA KUSUMA 3,YGJD,Tanker,Bunkering Tanker,ID,80.0,18.15,1.5,1775.0,2610.0,,2011,102.0
525006055,7735252,MAIDEN EXPRESS,YD3564,Cargo,Tug,ID,31.72,8.0,,,,,1978,
525006056,,FALCON DELAPAN,YD3557,Tug,Tug,ID,20.0,7.0,,,,,,
525006063,7518719,MAIDEN III,YD2006,Tug,Tug,ID,30.05,8.82,,233.0,,,1975,8.0
525006069,,TB.MATANO 005,YDA6562,Tug,Tug,ID,45.0,10.0,,,,,,5.0
525006071,,FTU 3502,YBKZ2,Other,Other,ID,110.0,27.0,,,,,,
525006094,9427213,INTAN MEGAH 23,YDA4314,Tug,Tug,ID,28.05,8.6,3.0,255.0,174.0,,2007,6.0
525006105,9430076,INTAN MEGAH 26,YDA4590,Tug,Tug,ID,28.05,8.6,,248.0,174.0,,2007,5.0
525006122,8691996,BARA III,YDB4483,Tug,Tug,ID,25.0,8.0,,207.0,,,2013,8.0
525006124,,SB 1,YD3314,Tug,Tug,ID,,,,,,,,
525006132,8699948,ATHAMARA,SSD,Tanker,Oil Products Tanker,ID,50.35,12.0,,,,,2011,
525006134,8773055,SYARIFA,JZOL,Tanker,Oil Products Tanker,ID,54.06,14.0,,738.0,,,2012,5.0
525006137,,TB.MITRA SAMUDERA28,YDB6327,Tug,Tug,ID,10.0,4.0,,,,,,7.0
525006139,9732462,DEWA SAMUDERA ABADI,JZWJ,Other,Landing Craft,ID,55.0,12.2,,709.0,1200.0,,2014,10.0
525006152,,TB.SABANG 55,YDA4480,Tug,Tug,ID,25.0,8.0,,,,,,
525006153,,TB SCP 03,YDA3553,Tug,Tug,ID,36.0,8.0,,,,,,
525006174,,TB.SATRIA LAKSANA 98,YDA6627,,Unspecified,ID,,,,,,,,
525006178,,TB SYUKUR 23,YDA6232,Tug,Tug,ID,27.0,10.0,,,,,,7.0
525006188,9616149,BOMAS POTENZA,YDB4537,Tug,Tug,ID,29.5,9.0,,251.0,155.0,,2012,7.0
525006192,8691738,GUNUNG JATI,JZXK,Cargo,Work Vessel,ID,100.0,20.0,,,,,2012,
525006205,9069463,GEMA 2,YD6315,Tug,Tug,ID,26.6,8.0,,172.0,,,1996,1.0
525006213,9439993,MULIA KARSA 2,PNSS,Tanker,Oil Products Tanker,ID,90.0,14.0,3.8,1993.0,3116.0,,2007,9.0
525006215,9522764,OLYVIA,JZXE,Tanker,Oil Products Tanker,ID,104.0,18.0,6.6,5261.0,7000.0,,2009,13.0
525006216,9520754,NONI.T,JZXL,Tanker,Oil Products Tanker,ID,104.9,18.0,4.8,5261.0,7000.0,,2008,12.0
525006220,8909771,IVANI,JZLR,Tanker,Chemical Tanker,ID,59.19,9.62,,709.0,998.0,,1989,8.0
525006222,8921755,VIRGO 18,JZYH,Passenger,General Cargo,ID,134.6,22.41,,6706.0,3359.0,,1990,13.0
525006226,,TB.GABRIO,YDB4515,Tug,Tug,ID,,,,,,,,6.0
525006234,,TB MG 2001,YDA3508,Tug,Tug,ID,,,,,,,,0.0
525006235,8613580,ELYSIA,JZTJ,Passenger,Ro-Ro or Passenger Ship,ID,98.63,17.23,,4949.0,1265.0,,1987,12.0
525006236,,JAYA ELO 01,JZHK,Cargo,Cargo,ID,,,,,,,,
525006237,,TB. OCEANIC 5,YD5221,Tug,Tug,ID,,,,,,,,
525006238,,TB OCEANIC 6,YD5222,Tug,Tug,ID,24.0,8.0,,,,,,4.0
525006246,8315463,BAYU LAUT,PNXT,Other,Accommodation Ship,ID,80.0,24.5,,4660.0,2746.0,,1984,5.0
525006249,8763218,TIRTA SAMUDERA,POCA,Other,Barge Carrier,ID,,,,4442.0,4035.0,,1975,3.0
525006262,8694443,PERSADA 7 JG,YDB4597,Tug,Tug,ID,25.0,8.0,,207.0,,,2013,
525006263,9632624,MITRA CATUR 5,YDA4998,Tug,Tug,ID,26.0,8.0,,197.0,164.0,,2011,6.0
525006264,,TEDINDO JAYA 7,YDA3704,Tug,Tug,ID,21.0,7.0,,,,,,7.0
525006265,,FIGAR JAYA II,JZON,Tanker,Tanker,ID,62.0,12.0,,,,,,
525006267,,KM PERMATA CINTA,POZQ,Cargo,Cargo,ID,70.0,32.0,,,,,,10.0
525006272,,TB RAVA2,YDA6209,Tug,Tug,ID,2.0,1.0,,,,,,
525006278,,KMP JNW 2,PNEV,Passenger,Passenger,ID,97.0,25.0,,,,,,
525006281,9109201,TENRYU,JZGK,Cargo,Aggregates Carrier,ID,91.7,14.0,2.2,2449.0,1252.0,,1994,9.0
525006289,,ENDEAVOR 1,YDA3603,Tug,Tug,ID,23.0,7.0,,,,,,7.0
525006297,8737477,AUDAH,YDA6185,Tug,Tug,ID,,,,114.0,,,2008,5.0
525006299,,PURBA JAYA I,JZHP,Port Tender,Port Tender,ID,60.0,10.0,,,,,,7.0
525006300,,TB OCEANIC 2,YDB6047,Tug,Tug,ID,25.0,7.0,,,,,,6.0
525006316,,TB. MATANO 707,YDB6479,Tug,Tug,ID,25.0,8.0,,,,,,6.0
525006334,,TB.TRANS POWER 219,YD5220,Tug,Tug,ID,,,,,,,,4.0
525006345,9342308,SDS 36,YDA4034,Other,Tug,ID,23.5,6.0,,139.0,119.0,,2004,8.0
525006351,,PRIME 6,YDA4737,Other,Other,ID,25.0,7.0,,,,,,
525006354,,TB.PRIME 9,YDA4740,Tug,Tug,ID,40.0,30.0,,,,,,
525006366,,KM SHORYU XXVII,PMVG,Cargo,Cargo,ID,84.0,17.0,,,,,,10.0
525006372,8922204,KOYO,SSD,Cargo,General Cargo,ID,52.27,12.0,3.6,941.0,628.0,,1990,10.0
525006376,9772682,TELUK BAJAU VICTORY,YDB6559,High Speed Craft,Utility Vessel,ID,45.0,11.0,,489.0,395.0,,2015,9.0
525006384,,TB.SATRIALAKSANA 118,YDA3102,Tug,Tug,ID,29.0,10.0,,,,,,
525006386,,KM.HOKKY VIII,POLC,Cargo,Cargo,ID,70.0,12.0,,,,,,8.0
525006394,8609319,DANAWIRA,YHOM,Cargo,General Cargo,ID,51.0,8.0,,656.0,612.0,,1986,9.0
525006395,,KM.ALKEN PERSADA 8,YHNV,Pleasure Craft,Pleasure Craft,ID,57.0,8.0,,,,,,
525006400,,KM MITRA ANUGRAH II,JZKW,Cargo,Cargo,ID,83.0,10.0,,,,,,9.0
525006404,9164641,ANDHIKA KANISHKA,YBGC2,Cargo,Bulk Carrier,ID,225.0,32.26,13.3,38489.0,73056.0,,1998,13.0
525006418,9822293,TB CITRA 60,YDA3873,Tug,Tug,ID,23.0,8.0,,,,,,
525007004,,KP.KRESNA 7004,YCAL,Other,Other,ID,48.0,7.0,,,,,,8.0
525007009,,KM LAUT UTARA 12,YB4503,,Unspecified,ID,28.0,6.0,,,,,,
525007011,9054597,CAS JOHANNES,PMBK,Tanker,Chemical Tanker,ID,89.95,18.0,,2758.0,3984.0,,1992,12.0
525007017,9146235,GAS KALIMANTAN,YHPN,Tanker - Hazard A (Major),LPG Tanker,ID,99.98,16.0,3.7,3385.0,3530.0,,1996,14.0
525007025,9117935,NL 925,YDA4158,Other,Tug,ID,23.15,7.3,,129.0,130.0,,1994,8.0
525007029,9203083,DEWAYANI,PMVT,Tanker,Oil Products Tanker,ID,89.99,15.0,,2755.0,3560.0,,1999,9.0
525007032,,TB. TELUK MANDAR 159,YD7032,Tug,Tug,ID,28.0,8.0,,,,,,
525007042,9119232,AKRA 30,POQY,Tanker - Hazard A (Major),Oil Products Tanker,ID,96.5,15.62,4.8,3269.0,5365.0,,1995,12.0
525007049,,TB SATRIA SRIS 5,YD3687,Tug,Tug,ID,,,,,,,,8.0
525007062,,TB.BINA MARINE 51,YD3823,Tug,Tug,ID,28.0,12.0,,,,,,5.0
525007110,,SPGM 03,YDA3221,Tug,Tug,ID,22.0,6.0,,,,,,7.0
525007115,9674579,LINTAS BENGKULU,POVX,Cargo,Container Ship,ID,90.8,18.0,4.1,2670.0,4856.0,300.0,2012,10.0
525007120,9612856,FERY XVI,PNUU,Tanker,Oil Products Tanker,ID,83.8,18.0,2.4,2175.0,3246.0,,2010,8.0
525007124,9674919,CAROLINE 1,YDA3261,Tug,Tug,ID,30.0,9.0,,251.0,300.0,,2012,8.0
525007132,9636230,LIMIN HANDLER,POED,Tug,Tug,ID,36.5,10.4,4.0,453.0,500.0,,2012,8.0
525007161,8678205,PENAJAM,POIR,Other,Other,ID,50.0,5.0,,,,,,4.0
525007163,9671890,KANAL MAS,POXY,Cargo,Container Ship,ID,115.03,22.0,,6659.0,8180.0,537.0,2012,12.0
525007164,,NEW HUMMER,PNDI,Cargo,Cargo,ID,82.0,12.0,,,,,,10.0
525007175,,TB.KJ MARINE 101,YDA4188,Tug,Tug,ID,21.0,7.0,,,,,,6.0
525007183,8657548,LINTAS BRANTAS,POWE,Cargo,General Cargo,ID,111.9,16.0,5.5,4192.0,6349.0,,2009,8.0
525007193,,VANGUARD,JZBH,Passenger,Passenger,ID,60.0,24.0,,,,,,4.0
525007196,,FIGAR JAYA I,YGDJ,Tanker,Tanker,ID,57.0,9.0,,,,,,8.0
525007198,,TB YANG VITI XX,YDEN4,Tug,Tug,ID,,,,,,,,
525007206,,COSL 223,YGEN,,Unspecified,ID,99.0,30.0,,,,,,2.0
525007211,,SEMAR LIMA BELAS,YDA4137,Tug,Tug,ID,26.0,8.0,,,,,,
525007227,8652378,JHONI XIV,YDA4709,Tug,Tug,ID,27.0,8.0,,209.0,164.0,,2010,11.0
525007228,8628418,JHONI XVII,YD3693,Tug,Tug,ID,29.0,8.0,,222.0,,,2010,6.0
525007232,9119294,CELYN,PNSC,Tanker,Chemical Tanker,ID,69.95,11.5,4.2,1079.0,1753.0,,1994,8.0
525007241,9686405,CANTIKA 1,YDA3341,Tug,Tug,ID,30.0,9.0,,295.0,300.0,,2013,7.0
525007243,,TB.PANCARAN 1011,YDB6087,Tug,Tug,ID,30.0,10.0,,,,,,6.0
525007247,9209001,MILLIE M,JZAR,Tanker,Oil or Chemical Tanker,ID,112.5,18.82,5.4,5483.0,8834.0,,1999,15.0
525007249,,KM BARUNA FORTUNA II,POYX,Cargo,Cargo,ID,60.0,12.0,,,,,1988,9.0
525007258,9168336,MARLIN 8,JZAY,Tanker,Oil or Chemical Tanker,ID,105.0,16.8,,3866.0,6602.0,,1998,13.0
525007270,9688295,CANAYA 8,YDA3364,Tug,Tug,ID,26.0,8.0,3.6,195.0,,,2013,7.0
525007271,,TB TERUS DAYA 57,YDA3350,Tug,Tug,ID,26.0,8.0,,,,,,6.0
525007272,,TB.UNITAMA 9,YB6072,Tug,Tug,ID,,,,,,,,3.0
525007273,,TB.UNITAMA 14,,Tug,Tug,ID,,,,,,,,
525007274,8873611,UNITAMA 15,YD6045,Tug,Tug,ID,20.5,6.0,,,,,,
525007276,,EKA PASIFIK 300,JZBR,Passenger,Passenger,ID,100.0,30.0,,,,,,2.0
525007290,9164536,SUCCESS PEGASUS XXXVI,JZDI,Tanker,Oil Products Tanker,ID,182.0,30.0,8.3,23781.0,34999.0,,1999,12.0
525007294,,KM.DEWI SAMUDRA IX,YFLD,Cargo,Cargo,ID,65.0,11.0,,,,,,7.0
525007303,8670382,JHONI XXV,YDB4115,Tug,Tug,ID,28.0,9.0,,251.0,,,2012,9.0
525007318,,TB WIDMARINE 9,YDA3471,Tug,Tug,ID,22.0,7.0,,,,,,5.0
525007325,,TB. MARINA 1603,YDA3595,Tug,Tug,ID,22.0,6.0,,,,,,3.0
525007332,,TB. DUTA KAPUAS 15,YDB4433,Tug,Tug,ID,27.0,8.0,,,,,,5.0
525007356,,TB PRIMA SAKTI I,YDB4774,Tug,Tug,ID,22.0,8.0,,,,,,6.0
525007358,,TB.MARINA 1608,YDA3773,Tug,Tug,ID,26.0,8.0,,,,,,
525007377,,TB.GROGOL 02,YDB6340,Tug,Tug,ID,,,,,,,,5.0
525007379,,MTS 12,YDA3803,Special Craft,Special Craft,ID,21.0,6.0,,,,,,5.0
525007385,,TB.KASIH POWER2000 1,YDA4530,Tug,Tug,ID,,,,,,,,7.0
525007390,9004633,TAMEDA MARU NO.3,YBER2,Tanker,Oil or Chemical Tanker,ID,64.8,10.0,4.0,499.0,1250.0,,1990,10.0
525007392,9016715,TRIMAS KANAYA,YBET2,Passenger,Ro-Ro or Passenger Ship,ID,116.53,18.0,,6410.0,1300.0,,1990,
525007405,,MARINA 1615,YDA3849,Tug,Tug,ID,22.0,6.0,,,,,,
525007722,,KM KARUNIA BAROKAH,,Fishing,Fishing,ID,,,,,,,,
525008026,8117093,SANGA SANGA/PERTAMINA 3009,YDXZ,Tanker - Hazard A (Major),Oil Products Tanker,ID,180.0,32.0,6.0,21747.0,29944.0,,1983,15.0
525008040,9348950,PLAJU,YCQL,Tanker,Oil Products Tanker,ID,108.0,20.0,,5619.0,6500.0,,2005,11.0
525008045,9189586,KUANG,YCMJ,Tanker,Oil Products Tanker,ID,105.0,17.0,5.0,5263.0,6500.0,,1998,13.0
525008046,9179892,KATOMAS,PKRN,Tanker,Oil Products Tanker,ID,105.0,18.8,6.0,5263.0,6500.0,,1999,10.0
525008048,8825559,MIDAI,YD5002,Tug,Tug,ID,32.5,8.8,,240.0,,,1986,7.0
525008052,9189603,KRASAK,PMHT,Tanker,Oil Products Tanker,ID,105.0,18.8,,5256.0,6640.0,,1999,14.0
525008053,9179907,KLASOGUN,PMHS,Tanker,Oil Products Tanker,ID,105.0,18.8,5.0,5271.0,6627.0,,1999,13.0
525008054,9189548,PANDAN,PMRQ,Tanker,Oil Products Tanker,ID,66.0,14.0,3.8,1487.0,1669.0,,2000,11.0
525008061,9398278,GUNUNG GEULIS/PERTAMINA 8004,PNIY,Tanker,Crude Oil Tanker,ID,243.8,42.0,9.2,60380.0,107538.0,,2010,13.0
525008063,8765216,BELANAK NATUNA,PNWJ,Other,Floating Storage or Production,ID,,,,132779.0,202860.0,,2005,11.0
525008066,9455789,GEDE,PNZP,Tanker,Crude Oil Tanker,ID,244.5,32.57,10.9,63005.0,88312.0,,2011,15.0
525008070,9524920,GAMALAMA,POFX,Tanker,Crude Oil Tanker,ID,244.5,32.57,9.3,63005.0,88322.0,,2011,15.0
525008072,9590670,GAS WALIO,POGX,Tanker,LPG Tanker,ID,158.0,26.0,7.8,18006.0,17400.0,,2011,16.0
525008074,7432707,DERMAGA MAWAR KENCANA,YD4128,Tug,Tug,ID,35.0,9.0,,282.0,259.0,,1975,7.0
525008077,9601704,MEDITRAN,POTJ,Tanker,Oil Products Tanker,ID,90.0,15.2,4.0,2938.0,3644.0,,2012,11.0
525008091,,ARUN RADIO,PKB20,Other,Other,ID,,,,,,,,0.0
525008095,9601675,PANGKALAN BRANDAN,YHPH,Tanker,Oil Products Tanker,ID,157.2,27.7,6.8,14458.0,18290.0,,2015,12.0
525008101,9149536,BALONGAN I,YFIX,Tug,Tug,ID,32.5,4.0,,304.0,391.0,,1996,7.0
525008102,9155793,BALONGAN II,YFIY,Tug,Tug,ID,32.5,9.0,3.2,302.0,146.0,,1996,10.0
525008118,9330202,BALONGAN,YDUO,Tanker,Oil Products Tanker,ID,108.0,19.2,6.0,5573.0,6736.0,,2005,13.0
525008119,9601663,PAGERUNGAN,JZXD,Tanker,Oil Products Tanker,ID,157.2,27.7,7.1,14458.0,18232.0,,2014,12.0
525008120,9509918,SENIPAH,JZYW,Tanker,Oil Products Tanker,ID,180.0,30.53,8.0,24167.0,29756.0,,2014,15.0
525009000,,ENAM SAUDARA,05888,Fishing,Fishing,ID,19.0,4.0,,,,,,6.0
525009061,9574781,SERASI IX,PNBR,High Speed Craft,Landing Craft,ID,70.0,12.0,,790.0,,,2009,6.0
525009075,9346483,SINAR BUSAN,POEL,Tanker - Hazard A (Major),Oil or Chemical Tanker,ID,116.5,20.0,5.7,7687.0,11277.0,,2006,14.0
525009077,9545390,SINAR MATARAM,POTN,Tanker,Oil or Chemical Tanker,ID,88.6,14.0,4.6,2888.0,3818.0,,2009,14.0
525009083,8804270,BEST,PMVW,Tanker,Oil Products Tanker,ID,47.7,8.2,,391.0,602.0,,1988,7.0
525009085,,SHA 601,POJJ,Tanker,Tanker,ID,51.0,9.0,,,,,,
525009092,8740852,DUMAI EXPRESS 15,YB3430,Passenger,Passenger Ship,ID,30.0,8.0,,147.0,,,2000,
525009096,8647610,DUMAI LINE 1,YB3593,Passenger,Passenger Ship,ID,38.0,8.0,1.2,281.0,259.0,,2010,31.0
525009098,9540015,ASL MANTRUS,POYY,Tug,Anchor Handling Vessel,ID,36.0,10.4,,,,,,
525009107,,TB. MARINA 22,YD3691,Tug,Tug,ID,22.0,6.0,,,,,,4.0
525009118,,TB SOL 1006,YDA3332,Tug,Tug,ID,22.0,8.0,,,,,,7.0
525009126,9548794,CPA 05,YD3541,Tug,Tug,ID,28.05,8.6,,254.0,194.0,,2008,4.0
525009143,8889000,PBK MURYATI,YGMA,Passenger,Passenger Ship,ID,58.45,14.0,,850.0,267.0,,1995,14.0
525009150,9690640,CLEON I,YDA3395,Tug,Tug,ID,26.0,8.0,,203.0,,,2013,7.0
525009151,,KM DAMAI BAHARI,PNZI,Cargo,Cargo,ID,78.0,12.0,,,,,,
525009172,8502729,PATRA OFFSHORE,YDXL,Sailing Vessel,Research or Survey Vessel,ID,60.0,10.0,,1185.0,1044.0,,1988,7.0
525009173,9691450,CANAYA I,YDA3396,Tug,Tug,ID,30.0,9.0,3.5,282.0,300.0,,2013,8.0
525009200,9532927,CPA 01,YD3503,Tug,Tug,ID,28.05,8.6,,249.0,202.0,,2008,
525009209,,DOLPHIN 02,YD3542,Tug,Tug,ID,26.0,9.0,,,,,,
525009223,,TB LAUTAN 35,YD3835,Tug,Tug,ID,28.0,8.0,,,,,,
525009229,8512217,OMARRASHEED,JZGI,Cargo,Vehicles Carrier,ID,116.04,18.0,5.5,9239.0,5705.0,90.0,1985,12.0
525009234,,NOAH VII,YDA3403,Tug,Tug,ID,25.0,21.0,,,,,,3.0
525009246,,TB KIETRANS 1,YD3688,Tug,Tug,ID,27.0,8.0,,,,,,10.0
525009247,,TB NOAH IX,YDA3416,Tug,Tug,ID,25.0,8.0,,,,,,7.0
525009266,9428633,OPS ANDRA,JZOZ,Other,Tug,ID,45.0,11.0,,499.0,149.0,,2007,
525009279,,KM.BHAITA JAYA PRIMA,JZNQ,Cargo,Cargo,ID,70.0,12.0,,,,,,
525009287,9747596,PERMATA GLORY,YCUJ,Tanker,Oil Products Tanker,ID,80.47,19.0,4.0,2279.0,3401.0,,2015,6.0
525009296,,FERIMAS AKBAR,YBEO,Tanker,Tanker,ID,64.0,10.0,,,,,,11.0
525009302,,TB.SAKHAMAS 02,YDB4243,Tug,Tug,ID,27.0,8.0,,,,,,8.0
525009303,,TB.SPEED TURBO,YD2121,Tug,Tug,ID,,,,,,,,5.0
525009306,8742800,JAMBO VI,PNCB,Passenger,Landing Craft,ID,70.0,14.0,,788.0,,,2009,9.0
525009316,9755622,DRAKO GALLANT,YDA3648,Tug,Tug,ID,28.05,8.6,3.0,254.0,217.0,,2014,7.0
525009329,,SPOB SAMUGARA 36,YB6373,Tug,Tug,ID,36.0,8.0,,,,,,
525009334,,TB.RICKY 1600 6,YDA3760,Tug,Tug,ID,34.0,8.0,,,,,,5.0
525009336,,TB.KARYA PACIFIC 21,YD4458,Tug,Tug,ID,,,,,,,,6.0
525009342,8782123,TB SOL 1010,YDB6620,Tug,Tug,ID,24.0,8.0,,143.0,,,2015,8.0
525009343,,SMI IV,YBCQ2,Cargo,Cargo,ID,,,,2999.0,,,2008,
525009351,9345001,DERYA MAS,YBJC2,Cargo,General Cargo,ID,110.0,19.7,4.4,5250.0,7624.0,554.0,2005,12.0
525009709,,KM CAHAYA BARU HR,,Fishing,Fishing,ID,,,,,,,,
525010031,9548926,CMPL 01,PNVU,Tug,Tug,ID,29.85,10.0,,307.0,,,2010,6.0
525010039,9232010,SMS POWER,YDA4088,Tug,Tug,ID,23.5,7.32,,134.0,126.0,,2000,4.0
525010045,5432820,MUTIARA LAUT,YB5347,Passenger,Passenger Ship,ID,43.0,10.0,,,,,,9.0
525010047,,MICHELLE II,YD6665,Tug,Tug,ID,20.0,8.0,,,,,,
525010056,9056545,ANNABELLA,PNGP,Tanker,Oil Products Tanker,ID,104.5,14.5,5.0,2826.0,4999.0,,1992,12.0
525010059,9066318,AUDREY,PMZC,Tanker,Oil Products Tanker,ID,105.24,16.0,6.6,2997.0,5398.0,,1993,11.0
525010062,9468281,SERENA III,PNWM,Tanker,Oil or Chemical Tanker,ID,91.03,14.0,,2286.0,3050.0,,2007,11.0
525010077,,BOMAS PROGRESS,YD3879,Tug,Tug,ID,28.0,9.0,,,,,,9.0
525010079,8818221,VICTORIA 11,PMNL,Tanker,Oil Products Tanker,ID,89.91,14.02,,2001.0,4251.0,,1988,8.0
525010084,9037575,PUTRI YASMIN,YDGJ,Passenger,Ro-Ro or Passenger Ship,ID,60.0,13.32,,1790.0,250.0,,1992,13.0
525010092,9277709,FANNY 26,YDA6367,Tug,Tug,ID,26.0,9.82,,274.0,450.0,,2002,0.0
525010093,9351660,TJA 289,YDA6304,Tug,Tug,ID,29.53,9.05,,252.0,137.0,,2005,6.0
525010095,9351696,TJA 2812,YDA6306,Tug,Tug,ID,29.5,9.02,,252.0,141.0,,2006,7.0
525010112,8810621,SINAR MAS,PMWK,Cargo,General Cargo,ID,56.72,10.0,3.0,655.0,900.0,,1988,13.0
525010119,,HEKTOR 102,YDA5728,Tug,Tug,ID,67.0,14.0,,,,,,
525010134,8817203,MULIA KARSA 3,POJZ,Tanker,Oil Products Tanker,ID,76.51,11.41,3.5,1029.0,1966.0,,1988,11.0
525010138,,BAHAR 97,YD3973,Tug,Tug,ID,24.0,8.0,,,,,,7.0
525010148,9532135,LABITRA SAFINAH,YBNF2,Fishing,Landing Craft,ID,61.1,14.0,,,,,2008,8.0
525010160,9655157,CITRA 03,YDA3064,Tug,Tug,ID,23.5,7.0,,153.0,,,2012,6.0
525010167,9672624,KAPUAS,PONW,Tanker,Oil Products Tanker,ID,85.0,20.0,,2370.0,3540.0,,2012,7.0
525010168,9663908,MUSI,PONX,Cargo - Hazard B,Oil Products Tanker,ID,85.0,20.0,,2370.0,3540.0,,2012,7.0
525010169,9664122,MAHAKAM,PONV,Tanker,Oil Products Tanker,ID,85.0,20.0,,2370.0,3540.0,,2012,8.0
525010171,,TB HASNUR 10,YDA3111,Tug,Tug,ID,31.0,9.0,,,,,,
525010172,,TB TSE 3,YDA4750,Tug,Tug,ID,27.0,10.0,,,,,,6.0
525010174,,TB KAILI III,YDA3142,Tug,Tug,ID,38.0,8.0,,,,,,4.0
525010180,,KAILI V,YDA3157,Pleasure Craft,Pleasure Craft,ID,38.0,8.0,,,,,,
525010184,7903964,TONASA LINE XVI,PNPB,Cargo,Cement Carrier,ID,111.0,17.43,,4676.0,7325.0,,1979,11.0
525010187,,TB UVM 08,YDA3150,Tug,Tug,ID,25.0,7.0,,,,,,5.0
525010189,9627239,BINA MARINE 89,YDA3019,Tug,Tug,ID,23.5,7.32,,135.0,121.0,,2011,6.0
525010190,,TB WAHANA 15,YDA3129,Tug,Tug,ID,26.0,6.0,,,,,2012,4.0
525010194,,TB.WAHANA V,Y33477,Tug,Tug,ID,6.0,6.0,,,,,,7.0
525010222,8204432,SILVER QUEEN 2,JZXF,Passenger,Ro-Ro or Passenger Ship,ID,120.63,20.53,,6106.0,7058.0,,1979,
525010223,,TB.RP 2006,YDB4017,Tug,Tug,ID,28.0,10.0,,,,,,
525010226,,CITRA MURNI,YDA3016,Tug,Tug,ID,22.0,7.0,,,,,,8.0
525010227,9134713,HIPPO,JZYY,Tanker,Oil Products Tanker,ID,183.0,32.21,8.3,29111.0,46092.0,,1997,11.0
525010228,9738272,TIRTA SAMUDRA XXXIII,YFCU,Cargo,General Cargo,ID,89.54,16.0,2.5,2223.0,2845.0,,2014,9.0
525010229,9731482,EP ALFA,YD5218,Passenger,Crew Boat,ID,31.2,6.8,,115.0,42.0,,2014,13.0
525010230,9046655,MEX DE OCEAN 1,JZNY,Tanker,Chemical Tanker,ID,66.02,9.62,4.2,767.0,1140.0,,1992,102.0
525010232,8601745,BIMA VI,YEBU,Tug,Tug,ID,31.7,4.87,,374.0,200.0,,1987,4.0
525010236,,KURNIA SARI 8,YD3372,Tug,Tug,ID,,,,,,,,7.0
