mmsi,imo_number,ship_name,call_sign,ship_type_code,ship_category,length_m,beam_m,draught_m,destination
538010896,9898553,FRONT MAINE,V7A6288,80,Tanker,336,60,11,SGSIN PEBGC
538011085,9801718,GEMMA,V7A6559,70,Cargo,200,32,13.6,SG SIN(PWBGB)
538011325,9972529,ST MICHAEL,V7A6963,70,Cargo,179,30,10.7,SUEZ CANAL
538011336,9655781,BFL SCORPIO,V7A6977,80,Tanker,118,18,6.8,ASSPU SIN
538011698,9528940,DHT REDWOOD,V7A3317,80,Tanker,333,60,11,SG SIN
538011746,9650963,BLUE GRETHA,V7A3399,99,Other,137,81,16.8,SINGAPORE
538011890,9474553,ANNE,V7A3617,89,Tanker,97,17,4.6,SGSIN
538011931,9368900,VIKING SYDNEY,V7A3686,70,Cargo,179,32,8.4,SG SIN
538012042,9187887,AZAMARA ONWARD,V7A3883,60,Passenger,181,26,5.9,SGSIN
538012374,9708423,NAUTICAL SINGAPORE,V7B2763,90,Other,85,23,5.4,SINGAPORE
542249110,0,SEA GULL,E6GE2,70,Cargo,,,0,
542659110,,SEA WREN,,,Unknown,,,,
548734000,9936795,SUNRISE TRADER,DYKT,70,Cargo,229,32,13.7,TIANJIN
553112025,9362580,KIMBE CHIEF,P2V5830,70,Cargo,86,12,3.5,PG LAE
563002840,9257888,WAVEMASTER 5,9V6136,40,High Speed Craft,,30,2.1,SINGAPORE
563003610,,TWINKLE,,,Unknown,,,,
563004120,,MARINA PRINCESS 3,,,Unknown,,,,
563007650,,,9V6899,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,25,6,,
563008910,9004580,MARINA VIVO,9V7030,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,31,9,0,
563009046,,,9V7022,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,,,,
563009180,9386067,NOBLE ACE TG41,9V7023,90,Other,,,4.2,VARIABLE
563011250,,SSE ERICA,,,Unknown,,,,
563012030,,,SC4222Z,70,Cargo,,,,
563015550,,,9V6051,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,7,,,
563018000,9735397,MMA PRIVILEGE,9V3022,99,Other,90,24,4.5,AWW SG
563019440,9637662,MARINA ZANITE,9V9601,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,9,4,SINGAPORE
563019670,0,CLEANSEAS FERRY 2,9V9585,60,Passenger,15,5,0.9,
563021070,0,PILOT GP53,SP1394D,0,Type 0,13,,1.8,SINGAPORE
563021100,9812353,KAI EI MARU 15,9V5257,80,Tanker,106,17,6.8,P17
563021420,,SEA EFA SC4356J,,,Unknown,,,,
563021460,0,PILOT GP57,SP1396J,50,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,15,5,0,PSA MARINE SG
563021660,,,9V5982,70,Cargo,,,,
563022690,,SC4425G,,,Unknown,,,,
563024500,9812664,MARINE QUEENIE,9V5348,80,Tanker,88,17,7.7,CC02
563024740,,MARINA ATHENA,,,Unknown,,,,
563024970,,SSE OLGA,,,Unknown,,,,
563025390,9692909,BONITA,9V2114,80,Tanker,24,10,3,AEPB
563025790,,SG MARIGOLD,,,Unknown,,,,
563026400,9543081,NOVA BREEZE,9V5446,89,Tanker,180,28,10.4,SGSIN
563026450,,,,60,Passenger,,,,
563026590,9714549,PANDUAN,9V2429,53,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,35,10,2.3,SINGAPORE
563026780,,,,60,Passenger,15,4,,
563027990,9692533,STAR 2,9V2693,80,Tanker,45,11,2.4,AEPB
563028450,9711080,SEA ABUNDANCE,9VLP2,84,Tanker,90,16,5.8,ARAFR
563028460,9711092,SEA LONGEVITY,S6BJ4,80,Tanker,90,16,6,ASPP
563028990,,,9V2509,37,Sailing / Pleasure / HSC,9,,,
563029230,9703954,SYNERGY,9VFL5,80,Tanker,48,10,2.8,ASPP
563029610,,FLOR DE LA MAR,,,Unknown,,,,
563029960,0,GP59,9V2980,0,Type 0,,7,0,
563030680,,PEONY,,,Unknown,,,,
563030850,9703928,MERLION 30,9V7203,85,Tanker,38,10,2.6,ARP
563031300,9817652,CLEANSEAS EQUALITY,9V5321,80,Tanker,57,12,3.8,0
563032570,,SUNLIGHT,,,Unknown,,,,
563033100,9809887,MARINE ZAMBEZI,9V5163,80,Tanker,90,17,5.6,AESPA
563033240,9704037,UNI SUPPLY 1,9VFC6,80,Tanker,38,10,2.8,ASPP
563033720,,CNC 5,,,Unknown,,,,
563033840,,,,37,Sailing / Pleasure / HSC,10,3,,
563034510,,,9V3636,37,Sailing / Pleasure / HSC,10,4,,
563034750,,FORCE,,,Unknown,,,,
563035280,,DAHLIA,,,Unknown,,,,
563035290,,PANDORA 4,,,Unknown,,,,
563036620,0,PILOT GP01,9V3652,60,Passenger,,,0,SPORE
563036640,0,PILOT GP03,9V3654,0,Type 0,9,,1,WEST COAST
563037570,,NAUTICAL ISLAND,,,Unknown,,,,
563037800,9824875,LT BERYL,9V5432,80,Tanker,99,17,4.5,PEBG - C SG
563037950,,,,37,Sailing / Pleasure / HSC,20,5,,
563038490,,SEA QUEST SB7888B,,,Unknown,,,,
563038800,9813424,MARINE TINA,9V5352,86,Tanker,89,18,7.3,TANJUNG PELEPAS
563039300,9816024,NEW HORIZON,9V5465,2,Type 2,105,16,4.3,SG EPBG C
563040064,,KENKI 26,,,Unknown,,,,
563040084,,I-RAY,,,Unknown,,,,
563040267,,KM 33,,,Unknown,,,,
563040345,,,,53,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,,,,
563040382,,SC1494C,,,Unknown,,,,
563040383,,,,37,Sailing / Pleasure / HSC,10,10,,
563040413,,KANLIAN 7,,,Unknown,,,,
563040431,,SC4363C,,,Unknown,,,,
563040581,,YORK 32,,,Unknown,,,,
563040616,,COASTLINK 7,,,Unknown,,,,
563040711,,GWYN 92,,,Unknown,,,,
563041069,,,,60,Passenger,,,,
563041217,,,,37,Sailing / Pleasure / HSC,10,10,,
563041486,,SHARED ESCAPE,,,Unknown,,,,
563041631,,KM 1,,,Unknown,,,,
563041656,,SC 2920 G,,,Unknown,,,,
563042900,9550125,STRAITS INTEGRITY,9V8368,80,Tanker,103,16,5.8,AEPC
563044940,,SC3908C,,,Unknown,,,,
563056400,9825049,EMMA COSULICH,9V5469,80,Tanker,115,19,7,ARP
563059600,9774575,MTM NEWPORT,9V5429,80,Tanker,179,27,6.8,SINGAPORE(PEBGB)
563060900,9434694,BTS SUMMER,9V5894,80,Tanker,128,20,6,SGP AWPB
563063980,,SKIP JACK,,,Unknown,,,,
563065310,,,V3AM,70,Cargo,24,8,,
563066530,9830197,PSA POLARIS YS50,9V5829,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,27,11,4.9,SGP(WCB)
563066540,9830202,PSA CAPELLA YS51,9V5831,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,27,12,0,
563067950,9847360,PRISM,9V8658,0,Type 0,44,9,3,ASSPU
563068420,,,SC4898H,37,Sailing / Pleasure / HSC,24,9,,
563068830,,,,37,Sailing / Pleasure / HSC,,,,
563069020,,SUPER FAST,,,Unknown,,,,
563069100,9836799,SALAMAH,9V9412,80,Tanker,78,13,4.8,AEW
563069180,,REGENT BRAVO,,,Unknown,,,,
563069630,,LES SWIFT,,,Unknown,,,,
563069780,,JPO DELTA,,,Unknown,,,,
563070780,,PENGUIN CEPAT,,,Unknown,,,,
563070980,,,9V6707,60,Passenger,15,5,,
563071340,,PENGUIN TEGAS,,,Unknown,,,,
563071860,,4 OF A KIND,,,Unknown,,,,
563071960,,,9V6785,60,Passenger,16,5,,
563072150,,TEKONG 7,,,Unknown,,,,
563072790,,NAUTICAL CELTIC,,,Unknown,,,,
563073090,,,9V6941,53,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,20,6,,
563073110,,GC 22,,,Unknown,,,,
563073120,,GC 23,,,Unknown,,,,
563073220,9705689,SEA FORTITUDE,9V9642,80,Tanker,43,12,3.4,ARAFR
563074504,,,9V7106,0,Type 0,15,4,,
563074570,9903308,VISION 225,9V6996,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,24,8,0,
563074740,,ADVISORS ALLIANCE I,,,Unknown,,,,
563074920,0,DISCOVERY,9V7269,90,Other,14,5,0,
563075940,9105968,PSA CONNECTIVITY,9V7551,70,Cargo,184,25,5.4,BRANI
563075990,,CAST CLIFFORD,,,Unknown,,,,
563076580,,CHOLA RANI 2,,,Unknown,,,,
563076970,,,,60,Passenger,,,,
563076980,,RAPTOR,,,Unknown,,,,
563077010,,,9V7904,90,Other,,,,
563077510,,,SC5082F,37,Sailing / Pleasure / HSC,,,,
563077750,9897200,JMS SUNSHINE,9V6808,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,12,0,RAFFLES LIGHTHOUSE
563077900,9855707,EAGLE LIKA,9V8409,80,Tanker,113,19,7.1,ASSPU
563077940,,,9V7933,50,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,17,5,,
563078370,,RAPIDE,,,Unknown,,,,
563078870,0,ILLUMINATOR,9V8560,50,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,14,4,1,KUKUP
563079380,,,9V8578,60,Passenger,28,8,,
563080160,0,MPA GUARDIAN,9V7882,53,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,34,10,0,SINGAPORE PORT
563081020,,,9V8579,60,Passenger,28,9,,
563081110,,,9V8580,60,Passenger,28,9,,
563081360,,MAZU 05,,,Unknown,,,,
563082690,1014498,ARUNDINA,9V8957,80,Tanker,91,18,6.5,ARAFR
563082830,,,,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,,,,
563083030,,MAJULAH 15,,,Unknown,,,,
563083180,,I VIPER VI,,,Unknown,,,,
563083360,,MAKEBA,,,Unknown,,,,
563083550,1015260,CLEANSEAS JOY,9V8916,80,Tanker,,,3.4,AEPB
563083840,9998169,PSA GEMINI (NN75),9V9801,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,12,4.8,WCB
563084430,,WALL E,,,Unknown,,,,
563084440,1028140,ODETTE OASIS,9V9166,80,Tanker,91,18,3.5,AEBB
563085320,9672258,ETERNITY,9VAQ7,82,Tanker,85,16,3.4,AEPB
563085480,,WANDERING ALBATROSS,,,Unknown,,,,
563085490,,NORTHERN ALBATROSS,,,Unknown,,,,
563085830,,EAGLEWINGS V,,,Unknown,,,,
563085870,1092385,CSM VIPER,9VAV8,80,Tanker,60,14,4.1,ASSPU
563085890,1074022,MT ROIELLA,9V9988,80,Tanker,90,16,0,P-30
563086160,,PEARL LIGHTER,,,Unknown,,,,
563086260,,,9VEP6,90,Other,,,,
563086270,9738430,SEVERN,9V7161,80,Tanker,53,15,4.6,AEPB
563086580,1060332,PSA LYRA,9V9800,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,12,4.7,SINGAPORE
563086610,1114884,CSM HYDRA,9VEB7,80,Tanker,60,14,3.8,ASPP
563086920,1105792,RIKKA,9VCZ9,80,Tanker,90,16,5,AEPB
563086930,1060344,PSA PISCES,9V9806,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,12,4.7,SG SIN PEBG-A
563087010,1060368,PSA PEGASUS,9V9810,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,12,5,SGSIN - PEBGA
563087310,1060370,PSA VELA,9V9812,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,12,5,SG SIN-PEBGA
563087330,,ATLANTIC ALBATROSS,,,Unknown,,,,
563087340,,SZ18473G,,,Unknown,,,,
563087590,1060382,PSA VOLANS,9VLT2,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,30,12,5,SINGAPORE
563092000,9532329,COMO,9V7669,89,Tanker,89,15,4.8,OMU#06
563098800,9880520,MARINE VICKY,9V6291,80,Tanker,103,19,4.8,ASPP
563100400,9894404,REGENT  LIBRA,9V6120,70,Cargo,100,12,0,JP26
563102300,9882748,GOLDEN AUSTRALIS,9V5189,80,Tanker,127,21,8.7,SG SIN PEBGC
563103700,9438171,BTS WINTER,9V6774,82,Tanker,129,20,5.3,SG SIN PWBGA
563105900,9869605,PSA MARVEL CS05,9V6482,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,32,12,5.4,SINGAPORE
5631101,0,PSAB,TEST1,99,Other,,,0,TEST HARBOR
563111300,9858723,MAERSK XIAMEN,9V6017,71,Cargo,186,36,9.5,HKHKG
563111600,9859636,FUELNG BELLINA,9V6788,80,Tanker,120,20,5.3,SG-ARAFR
563120700,9908554,MAESTRO,9V6708,81,Tanker,115,19,7,AEPA
563127800,9507166,ES JEWEL,9V5391,80,Tanker,138,21,5.4,SG AWW
563129100,9880764,BRASSAVOLA,9V5397,84,Tanker,116,22,6.4,RAFFLES RESERVE ANCH
563130300,9910973,EPITOME,9V5016,80,Tanker,114,19,6.5,AEPB/C
563132700,9672246,CSM TAURUS,9V7051,80,Tanker,91,14,5.4,ASSPU
563136000,9363857,SINAR MENDAWAI,9V2192,80,Tanker,145,24,6,SG SIN
563138900,9923657,EAGLE GARNET,9V7059,80,Tanker,113,19,5.3,SG SIN ASSPU
563140000,9307437,BTS CAMILLA,9V3430,84,Tanker,118,19,5.5,SGSIN ASSPU
563141000,9691747,NOC 8,9V7569,80,Tanker,40,10,0,SINGAPORE
563141500,9892860,PSA FALCON CS07,9V7474,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,26,12,5.4,SGP WCB
563147700,9813709,PSA VISION (NN27),9V7732,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,32,12,4.4,SINGAPORE
563169200,9771664,INTERASIA ENGAGE,9V8377,70,Cargo,186,35,10.9,IDSUB
563179200,9923449,PROTEUS TRACY,9V8632,80,Tanker,250,44,8.9,SGSIN PGBG
563180600,9956719,MARINE DYNAMO,9V7518,80,Tanker,103,19,7.4,AEBB
563182900,9937115,FUELNG VENOSA,9V8682,80,Tanker,166,24,6.1,ASSPU
563184200,9678446,RUBICON NN22,9V8509,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,32,12,5.4,SINGAPORE/WQA
563186900,9313096,SRIWANGI II,9V8824,89,Tanker,147,23,6.4,PEBGC
563190900,9854260,GOODTRANS 1,9V8926,80,Tanker,119,18,7.4,AEPBC
563197000,9501629,BLISS,9V7510,80,Tanker,100,15,4.8,AWPA
563204400,9955820,DILIGENCE,9V8313,80,Tanker,90,16,5.8,ARP
563204500,9744398,HOUHENG 5,9V9186,70,Cargo,327,57,11.3,TUB BR
563205800,9750218,STOLT YURI,9V8777,80,Tanker,127,,7.4,SG SIN
563206300,9470545,STOLT MOMIJI,9V8784,80,Tanker,121,21,8,SGSIN
563208100,9985318,MAPLE,9V8636,80,Tanker,95,15,5.6,"OMU,SIN"
563215500,9995662,ZEVIROUS,9V8799,80,Tanker,75,12,4.6,OTS9
563215600,9995674,ZALE,SSD,80,Tanker,72,12,4.6,AWPA
563217300,9760213,HAFNIA PRECISION,9V7899,80,Tanker,220,38,11.2,HORIZON OBH2>AEPA
563217500,1014228,KARA,9V8971,80,Tanker,95,14,4.6,SG AEPB
563221000,9675119,MARLIN SATU,S6QP,80,Tanker,90,16,5.8,AEW
563227800,9197600,SYUKUR,9V7992,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,25,8,0,SINGAPORE
563234400,9864590,YM CONTINUITY,9V9754,74,Cargo,210,33,10.1,IDSUB>IDJKT
563246900,1059395,ZOEY,9V9828,80,Tanker,75,12,4.4,AEW
563247900,1073119,MAJESTIC PASSION,9VCO3,40,High Speed Craft,39,10,0,BTC TO HFC (RETURN)
563248400,1015703,PEARL LEGO,9V9847,80,Tanker,104,19,7,SGP
563250100,1015715,PEARL LAVENDER,9V9951,80,Tanker,104,19,5,AEPB
563250600,1073121,MAJESTIC HARMONY,9VCO4,40,High Speed Craft,39,10,0,HFC-BTC(RETURN)
563251100,1027134,EM NIKITA,9VBA7,80,Tanker,115,19,7.2,AEPB-SG
563253500,1032957,MARINE AZURE,9VAB6,80,Tanker,102,19,6.3,ARAFR
563254100,9977866,KOTA OASIS,9V9542,70,Cargo,260,46,10.2,SGSIN PEBGA
563257300,9390252,KOTA NEKAD,9VDK6,70,Cargo,180,28,10.1,SGSIN PEBGA
563258400,1073133,MAJESTIC BOLD,9VBV9,40,High Speed Craft,39,10,0,HARBOUR FRONT
563265000,9628348,KOTA LESTARI,9V2116,70,Cargo,266,32,8.5,CNSHA
563265800,9951018,EVER VERVE,9V7822,71,Cargo,210,35,11.4,PHMNL
563267100,1074450,SHOREA,9VEQ5,80,Tanker,99,18,5.8,AEPB
563270700,9976719,ONE STRENGTH,9V9622,70,Cargo,336,51,12.7,SIN PEBG A
563272100,1052529,PEARLLAUREL,9VCC5,90,Other,104,19,0,AEPB
563273200,9843675,STARGAZE,9VMO4,80,Tanker,140,20,5.5,SG_PEBGC
563273700,105116100,GOLDEN SIRIUS,9V9862,80,Tanker,115,19,7.2,MY-PGG
563275700,1065734,MARINA AMETHYST,9V5066,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,32,13,0,SINGAPORE
563287600,9839911,CMA CGM MEXICO,9V3241,71,Cargo,365,51,14.7,COLOMBO
563294700,1072660,EM SHONA,9VBA5,80,Tanker,115,19,7.1,SG-ASPP
563314600,1046130,MAREX MIA,9V8861,89,Tanker,124,20,8.9,SG SIN PEBGC
563314800,1072672,EM SHARLOTTE,9VBA6,80,Tanker,115,19,7.3,SG-AEPB
563315800,1114652,PINNACLE OF MAJESTIC,9VEE6,40,High Speed Craft,42,10,0,SINGAPORE - RFT
563321500,9786190,MAERSK CRETE,S6UP2,89,Tanker,183,32,10,AWQI ANCHORAGE
563323700,1119418,MAJESTIC SERENITY,9VMP8,40,High Speed Craft,39,10,2,HFC
563336000,9678654,HY JADE,9V9644,80,Tanker,43,12,3.5,AESPA
563406000,9512123,BTS CALYPSO,9V3878,80,Tanker,144,23,8.6,SG SIN_OSV5
563451000,9671888,ENTHRAL,9V5754,80,Tanker,60,11,4.1,AEW
563621000,9635810,HAFNIA PUMA,9V2342,80,Tanker,183,32,10.7,MYTPP>PEBGB
563751000,9060651,OCEAN RAIDER,9V3749,69,Passenger,34,7,1,BATAM CENTER
563848000,9537238,MERLION 28,9V2148,80,Tanker,63,13,4,CC01
563856000,9767912,JUMA,9V3733,80,Tanker,90,15,4.2,OTS#06
563869000,9070888,SINDO PRINCESS,9V3893,60,Passenger,28,7,1,SKP
563882000,9675121,MARLIN DUA,S6SL,80,Tanker,90,16,5.8,ARAFR
563927000,9332262,STRAITS MUNIFICENT,9VAU5,0,Type 0,93,14,5.5,AWPA
564029000,9112686,CHANA BHUM,9VMM,70,Cargo,147,24,4.7,SGSIN>AEW
564058426,8407908,NOBLE VALOUR,9V7163,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,26,8,0,
564167000,9678666,HY AMBER,9V9643,83,Tanker,43,12,3,AEPB
564221000,9635432,MARINA AMBER,9V2485,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,32,10,4.2,SIN
564264000,9681285,KOTA SETIA,9V2130,70,Cargo,228,37,10.1,SGSIN PEBGA
564269000,,LITA RANGER,,,Unknown,,,,
564346000,9764609,HORIZON 6,9V3269,40,High Speed Craft,39,9,1.5,RFT
564375000,9675133,MARLIN TIGA,9VDF,80,Tanker,90,16,5,S'PORE
564412000,9590395,SUPREME,9V8717,80,Tanker,42,11,2,ARP
564425000,9797101,QUEEN STAR 5,9V3845,40,High Speed Craft,32,7,1.2,BATAM CENTRE
564427000,9174529,WATERFRONT 2,9V5525,60,Passenger,,,1,BTC HFC RETURN
564611000,9289702,HERON SPIRIT,9V7687,0,Type 0,31,8,1.8,TELUK SENIMBA
564654000,0,PIL0T GP43,SP1346D,60,Passenger,15,4,1.4,BRANI
564688000,9730191,DESNA,9V2644,80,Tanker,90,16,4.5,AEPB/AEPC
564743000,9189184,KST KIJANG,9V5708,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,28,9,4,SINGAPORE
564759000,9204025,I MOLA,9V5704,60,Passenger,32,8,0,MSP
564855000,9355927,TOLL EMPEROR,9V6673,70,Cargo,54,18,2,PSB
564880000,9238612,KOTA HALUS,9V8258,70,Cargo,159,25,8.9,SGSIN PWBGA
564886000,9673109,GRAZIA COSULICH,9V6694,89,Tanker,90,16,6.5,AEPB/C
564892000,9561411,SEA UNITY,9V8082,80,Tanker,107,17,7.8,ARP
564966000,9694464,HAFNIA PANTHER,9V2552,80,Tanker,183,32,10.5,SG AWPB
565099000,9678525,LEO SUNRISE,9V2622,80,Tanker,173,28,7.5,SG PWBGA
565102000,9698745,AYER CHERDAS,9V2801,86,Tanker,40,10,4,SINGAPORE
565122000,9661455,VENUS,9V2488,80,Tanker,93,17,6.6,ARP
565133000,9307413,KOTA KAMIL,9VJK6,70,Cargo,233,32,10.8,SGSIN
565175000,0,PILOT GP45,9V7677,69,Passenger,15,4,2,
565209000,0,PARMELIA 1,9V8267,0,Type 0,65,15,0.5,ARP
565257000,9407237,CNC 7,9V6964,80,Tanker,43,12,3,AWPB
565261000,9417775,SEA RELIANCE,9VEK8,80,Tanker,101,16,6.5,ASPP
565263000,9732113,HORIZON 9,9V2413,40,High Speed Craft,38,9,1.5,SINGAPORE HFC
565282000,9554286,THAMES,9V7701,80,Tanker,115,17,7.6,AEPB/C
565459000,9058127,MARINE POWER,9V8475,80,Tanker,61,9,3.8,SINGAPORE
565472000,9536674,CHWNTEK 5,9V8046,80,Tanker,91,18,4.6,SERAYA POWER STN
565491000,9522697,STELLA ALICE,9V9079,70,Cargo,295,46,9.1,CAPE OF GOOD HOPE
565512000,9760861,SEA DILIGENCE,9V3732,81,Tanker,90,15,5.8,AEPB
565518000,9732125,HORIZON 8,9V2414,49,High Speed Craft,38,8,6.9,SINGAPORE
565523000,9536686,HANTEK 3,9V8045,80,Tanker,91,19,5,SINGAPURA
565574000,9422811,STRAITS NOMURA,9VEN8,80,Tanker,103,19,8.1,T206
565660000,9462081,ISSELIA,9VFW3,80,Tanker,180,20,6.5,AEPB
565743000,9449546,LOTUS,9VCL3,81,Tanker,114,18,5.8,SG PEBGC
565771000,9681259,KOTA SEJATI,9V2127,70,Cargo,228,37,12.3,IDJKT
565918000,0,PILOT GP46,SP1351J,50,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,13,5,0,
565923000,9139957,CLEANSEAS AMITY,9V7467,80,Tanker,64,10,3.4,SINGAPORE
565951000,9727338,RELIANT CS01,9V3108,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,31,11,5.2,VAR
565968000,9576911,LAUREL,9V8441,89,Tanker,103,18,4.4,SPORE ASPP
565974000,9459682,NEW GRACE,9VPN7,80,Tanker,110,18,4,BUKOM
565996000,9471434,RADIANCE,9VJZ9,80,Tanker,100,18,4.6,P 35
566000050,0,SCDF RED DOLPHIN,MRV 811,51,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,35,8,2,BRANI
566007000,9589592,ENERGETIC,9V8200,80,Tanker,95,17,5,AEPB/C
566009000,9717371,SEA PROSPERITY,9V2704,80,Tanker,90,16,5.7,AEPB/AEPC
566019000,9593270,SINCERITY,9V9153,80,Tanker,99,19,7.2,AEPB/C
566052000,9504712,ASL MERCURY,9V7431,31,Fishing / Towing / Dredging,26,12,2.2,SINGAPORE
566053000,9504700,ASL MARS,9V7430,36,Sailing / Pleasure / HSC,26,12,8.5,BATAM
566065000,9601211,GOLDEN ARANDA,9V8557,80,Tanker,69,13,4.8,ASPP
566091000,9397767,ZEMIRA,9VAA3,80,Tanker,75,17,6,SINGAPORE
566133000,9727675,RESILIENT NN23,9V3111,95,Other,32,13,4.2,S'PORE
566155000,9571014,QUEEN STAR 1,9V8144,40,High Speed Craft,38,8,1.2,RFT-BTC RETURN
566156000,9571026,QUEEN STAR 2,9V8145,40,High Speed Craft,33,8,1.2,RFT SNGAPORE
566163000,9735256,BRUE,9V2696,80,Tanker,90,15,6,SELAT PAUH
566241000,9438303,VANDA SUCCESS,9V9518,80,Tanker,96,15,7.2,SELAT PAUH
566287000,9717383,SEA HARVEST,9V3322,80,Tanker,90,16,5,ARP
566339000,9629990,SEA SERENITY,9V9605,80,Tanker,101,18,5.8,AEPB/C
566357000,9106120,MV BATAMFAST 18,9V8137,60,Passenger,28,9,1.2,BTC HFC RETURN
566385000,9438315,MARINE GAIA,9V9175,80,Tanker,100,18,7.5,AEPB/C
566386000,9438327,SEA BRILLIANCE,9V9176,80,Tanker,100,18,6.5,PASIR PANJANG # 27
566392000,9635066,DEBONAIR,9V9453,88,Tanker,92,20,7.4,AESPA
566474000,9655377,STRAITS ORACLE,9V9764,80,Tanker,95,14,5,ASSPU
566480000,9650509,KOSMOS CITRINE,9V9842,80,Tanker,105,18,6.8,AEPBB
566491000,9525493,MAERSK CABINDA,9V7037,70,Cargo,250,37,12,BJCOO>SGSIN
566496000,9655391,MARINE ORACLE,9V9824,80,Tanker,90,16,5.5,SUDONG
566500000,9103946,BATAM FAST19,9V9612,60,Passenger,,,0.9,BTM SGP
566511000,9627667,HY PROSPER,9V9203,80,Tanker,43,12,3.8,4.AEPB
566540000,9651876,ZMAGA,9V9858,80,Tanker,90,16,5.8,ARP
566608000,9664172,LUISELLA COSULICH,9V6010,84,Tanker,94,15,5.7,ASPP
566612000,9588689,SEA ENDURANCE,S6NU,80,Tanker,90,14,4.7,ARAFAR
566623000,9727687,RESOLUTE NN24,9V3113,99,Other,32,12,4.6,SINGAPORE
566630000,9649067,FERESA,9V9795,80,Tanker,67,14,3.9,ASSPU
566639000,9628805,TRINITY,9V9461,80,Tanker,78,13,4.8,SENOKO-JETTY
566680000,9639373,VITALITY,9V9848,80,Tanker,89,18,4.5,P-13
566687000,9647916,STRAITS HARMONY,9V3188,84,Tanker,70,14,5.4,AEPB
566701000,9656436,MERIT,9VXD7,80,Tanker,46,12,3.4,AEPB
566717000,9667784,MARINA ARIEL,9V9525,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,35,10,5,AWQI SPORE
566724000,9537202,MERLION 25,9V9855,80,Tanker,63,13,4.8,AEPB
566753000,9666340,HAI SOON 33,9V9784,80,Tanker,88,16,6,ASPP
566797000,9597472,APL VANCOUVER,9V9915,74,Cargo,328,45,13.8,AUADL>SGSIN PEBGA
566824000,9537214,FRONTEK,9V9856,80,Tanker,63,13,4.5,ARP
566842000,9680279,HUMBER,9V2030,80,Tanker,90,16,5.4,ASPP
566925000,,,9V2072,60,Passenger,14,7,,
566930000,9662679,ENDEAR,9V5729,80,Tanker,60,11,4,AWPB
566975000,9677753,INTEGRITY,9V9902,80,Tanker,46,12,3.5,AEPB
567463000,9615999,TASCO AMARIT,HSB4699,80,Tanker,105,20,4.3,"SG,PEBG C"
572133210,,EM 33,,,Unknown,,,,
572740210,9185487,JUPITER,T2SC4,80,Tanker,182,32,8.6,BINTULU
572771220,9503043,BRITOIL DEFENDER,T2EC6,90,Other,76,17,5,AEW ANCHORAGE
574002000,9337339,LS NEPTUNE,XVLG7,82,Tanker,183,32,8,PWBGB-SGP
574002060,9205512,GT EQUALITY,3WLE9,83,Tanker,108,17,6.8,PGBG SIN
574002130,9608506,SEAGULL 88,3WKQ9,80,Tanker,105,17,4.5,EOPL
574003530,9321641,GT VICTORY,3WHR7,84,Tanker,127,20,7.4,SG-SIN PGBG
